Detected Circle Parameters
Center_X, Center_Y, Radius
96, 377, 20
98, 392, 20
99, 374, 20
99, 393, 20
100, 373, 20
100, 385, 20
100, 386, 20
101, 387, 20
104, 371, 20
104, 379, 20
105, 371, 20
105, 378, 20
107, 390, 20
110, 389, 20
111, 387, 20
112, 377, 20
112, 386, 20
113, 377, 20
113, 378, 20
114, 378, 20
114, 379, 20
115, 388, 20
116, 370, 20
117, 371, 20
118, 141, 20
118, 390, 20
119, 132, 20
119, 133, 20
119, 389, 20
119, 390, 20
121, 379, 20
122, 121, 20
124, 284, 20
127, 174, 20
128, 137, 20
129, 130, 20
129, 131, 20
129, 135, 20
129, 137, 20
130, 129, 20
130, 131, 20
130, 157, 20
130, 292, 20
131, 134, 20
132, 123, 20
132, 134, 20
133, 131, 20
133, 133, 20
133, 134, 20
133, 136, 20
133, 145, 20
134, 129, 20
134, 131, 20
135, 100, 20
135, 124, 20
135, 125, 20
135, 126, 20
135, 169, 20
135, 171, 20
136, 115, 20
136, 121, 20
136, 124, 20
136, 150, 20
136, 151, 20
137, 121, 20
137, 170, 20
137, 176, 20
138, 110, 20
138, 119, 20
138, 132, 20
138, 133, 20
138, 177, 20
139, 110, 20
139, 117, 20
139, 166, 20
139, 167, 20
140, 109, 20
140, 110, 20
140, 169, 20
141, 108, 20
141, 142, 20
142, 107, 20
142, 133, 20
142, 134, 20
142, 135, 20
142, 171, 20
142, 172, 20
143, 93, 20
143, 106, 20
143, 107, 20
143, 112, 20
143, 128, 20
143, 130, 20
143, 131, 20
143, 153, 20
144, 105, 20
144, 168, 20
144, 192, 20
145, 104, 20
145, 159, 20
145, 168, 20
145, 175, 20
145, 185, 20
146, 108, 20
146, 109, 20
146, 129, 20
147, 103, 20
147, 108, 20
147, 114, 20
148, 102, 20
148, 106, 20
148, 164, 20
148, 165, 20
149, 101, 20
149, 106, 20
150, 100, 20
150, 105, 20
150, 106, 20
150, 110, 20
150, 144, 20
150, 145, 20
150, 169, 20
150, 174, 20
151, 100, 20
151, 104, 20
151, 105, 20
151, 106, 20
151, 110, 20
151, 116, 20
151, 125, 20
151, 144, 20
151, 145, 20
151, 169, 20
152, 99, 20
152, 104, 20
152, 106, 20
152, 125, 20
152, 157, 20
152, 161, 20
152, 169, 20
152, 170, 20
153, 98, 20
153, 99, 20
153, 103, 20
153, 123, 20
153, 124, 20
153, 133, 20
153, 134, 20
153, 141, 20
153, 146, 20
153, 159, 20
153, 160, 20
154, 98, 20
154, 103, 20
154, 107, 20
154, 108, 20
154, 141, 20
154, 153, 20
154, 157, 20
154, 159, 20
155, 108, 20
155, 113, 20
155, 130, 20
155, 139, 20
155, 157, 20
155, 158, 20
156, 101, 20
156, 109, 20
156, 130, 20
156, 131, 20
156, 142, 20
156, 149, 20
156, 154, 20
156, 155, 20
156, 158, 20
157, 101, 20
157, 102, 20
157, 109, 20
157, 126, 20
157, 127, 20
157, 131, 20
157, 135, 20
157, 146, 20
157, 148, 20
157, 155, 20
157, 162, 20
157, 165, 20
158, 96, 20
158, 105, 20
158, 124, 20
158, 125, 20
158, 126, 20
158, 133, 20
158, 135, 20
158, 143, 20
158, 146, 20
158, 154, 20
158, 155, 20
158, 164, 20
159, 96, 20
159, 124, 20
159, 125, 20
159, 133, 20
159, 143, 20
159, 146, 20
159, 153, 20
159, 161, 20
160, 95, 20
160, 122, 20
160, 139, 20
160, 143, 20
160, 146, 20
160, 152, 20
160, 160, 20
160, 182, 20
161, 103, 20
161, 108, 20
161, 120, 20
161, 121, 20
161, 129, 20
161, 136, 20
161, 142, 20
161, 145, 20
161, 147, 20
161, 159, 20
161, 160, 20
161, 162, 20
162, 98, 20
162, 119, 20
162, 120, 20
162, 127, 20
162, 128, 20
162, 129, 20
162, 136, 20
162, 142, 20
162, 152, 20
163, 98, 20
163, 107, 20
163, 126, 20
163, 127, 20
163, 136, 20
163, 144, 20
164, 103, 20
164, 107, 20
164, 122, 20
164, 140, 20
164, 147, 20
164, 155, 20
165, 97, 20
165, 133, 20
165, 140, 20
165, 145, 20
165, 146, 20
166, 100, 20
166, 101, 20
166, 120, 20
166, 124, 20
166, 125, 20
166, 128, 20
166, 131, 20
166, 138, 20
166, 140, 20
166, 144, 20
166, 145, 20
166, 152, 20
166, 153, 20
166, 156, 20
166, 185, 20
167, 100, 20
167, 120, 20
167, 125, 20
167, 129, 20
167, 130, 20
167, 151, 20
167, 152, 20
167, 184, 20
167, 185, 20
167, 190, 20
168, 96, 20
168, 128, 20
168, 129, 20
168, 135, 20
168, 185, 20
169, 96, 20
169, 126, 20
169, 127, 20
169, 128, 20
169, 129, 20
169, 135, 20
170, 95, 20
170, 126, 20
170, 135, 20
171, 92, 20
172, 118, 20
172, 136, 20
172, 141, 20
173, 112, 20
173, 139, 20
173, 183, 20
174, 102, 20
174, 129, 20
174, 136, 20
175, 117, 20
175, 129, 20
175, 193, 20
176, 115, 20
